"doc.id","title","citeulike.id","raw.title","raw.abstract"
10,"spectra and eigenvectors of scalefree networks",122,"Spectra and eigenvectors of scale-free networks.","We study the spectra and eigenvectors of the adjacency matrices of scale-free networks when bidirectional interaction is allowed, so that the adjacency matrix is real and symmetric. The spectral density shows an exponential decay around the center, followed by power-law long tails at both spectrum edges. The largest eigenvalue lambda1 depends on system size N as lambda1 approximately N1/4 for large N, and the corresponding eigenfunction is strongly localized at the hub, the vertex with largest degree. The component of the normalized eigenfunction at the hub is of order unity. We also find that the mass gap scales as N(-0.68)."
11,"spectra of random graphs with given expected degrees",123,"Spectra of random graphs with given expected degrees","In the study of the spectra of power-law graphs, there are basically two  competing approaches. One is to prove analogues of Wigner's semicircle law,  whereas the other predicts that the eigenvalues follow a power-law  distribution. Although the semicircle law and the power law have nothing in  common, we will show that both approaches are essentially correct if one  considers the appropriate matrices. We will prove that (under certain mild  conditions) the eigenvalues of the (normalized) Laplacian of a random  power-law graph follow the semicircle law, whereas the spectrum of the  adjacency matrix of a power-law graph obeys the power law. Our results are  based on the analysis of random graphs with given expected degrees and their  relations to several key invariants. Of interest are a number of (new) values  for the exponent β, where phase transitions for eigenvalue distributions  occur. The spectrum distributions have direct implications to numerous graph  algorithms such as, for example, randomized algorithms that involve rapidly  mixing Markov chains."
12,"growing and navigating the small world web by local content",127,"Growing and navigating the small world Web by local content.","Can we model the scale-free distribution of Web hypertext degree under realistic assumptions about the behavior of page authors? Can a Web crawler efficiently locate an unknown relevant page? These questions are receiving much attention due to their potential impact for understanding the structure of the Web and for building better search engines. Here I investigate the connection between the linkage and content topology of Web pages. The relationship between a text-induced distance metric and a link-based neighborhood probability distribution displays a phase transition between a region where linkage is not determined by content and one where linkage decays according to a power law. This relationship is used to propose a Web growth model that is shown to accurately predict the distribution of Web page degree, based on textual content and assuming only local knowledge of degree for existing pages. A qualitatively similar phase transition is found between linkage and semantic distance, with an exponential decay tail. Both relationships suggest that efficient paths can be discovered by decentralized Web navigation algorithms based on textual and/or categorical cues."
13,"the structure of scientific collaboration networks",128,"The structure of scientific collaboration networks","The structure of scientific collaboration networks is investigated. Two scientists are considered connected if they have authored a paper together and explicit networks of such connections are constructed by using data drawn from a number of databases, including MEDLINE (biomedical research), the Los Alamos e-Print Archive (physics), and NCSTRL (computer science). I show that these collaboration networks form âsmall worlds,â in which randomly chosen pairs of scientists are typically separated by only a short path of intermediate acquaintances. I further give results for mean and distribution of numbers of collaborators of authors, demonstrate the presence of clustering in the networks, and highlight a number of apparent differences in the patterns of collaboration between the fields studied."
14,"classes of smallworld networks",129,"Classes of small-world networks","We study the statistical properties of a variety of diverse real-world networks. We present evidence of the occurrence of three classes of small-world networks: (a) scale-free networks, characterized by a vertex connectivity distribution that decays as a power law; (b) broad-scale networks, characterized by a connectivity distribution that has a power law regime followed by a sharp cutoff; and (c) single-scale networks, characterized by a connectivity distribution with a fast decaying tail. Moreover. we note for the classes of broad-scale and single-scale networks that there are constraints limiting the addition of new links. Our results suggest that the nature of such constraints may be the controlling factor for the emergence of different classes of networks."
15,"multistability in the lactose utilization network of escherichia coli",148,"Multistability in the lactose utilization network of Escherichia coli","Multistability, the capacity to achieve multiple internal states in response to a single set of external inputs, is the defining characteristic of a switch. Biological switches are essential for the determination of cell fate in multicellular organisms1, the regulation of cell-cycle oscillations during mitosis2, 3 and the maintenance of epigenetic traits in microbes4. The multistability of several natural1, 2, 3, 4, 5, 6 and synthetic7, 8, 9 systems has been attributed to positive feedback loops in their regulatory networks10. However, feedback alone does not guarantee multistability. The phase diagram of a multistable system, a concise description of internal states as key parameters are varied, reveals the conditions required to produce a functional switch11, 12. Here we present the phase diagram of the bistable lactose utilization network of Escherichia coli13. We use this phase diagram, coupled with a mathematical model of the network, to quantitatively investigate processes such as sugar uptake and transcriptional regulation in vivo. We then show how the hysteretic response of the wild-type system can be converted to an ultrasensitive graded response14, 15. The phase diagram thus serves as a sensitive probe of molecular interactions and as a powerful tool for rational network design."
16,"finding and evaluating community structure in networks",154,"Finding and evaluating community structure in networks","We propose and study a set of algorithms for discovering community structure in networksnatural divisions of network nodes into densely connected subgroups. Our algorithms all share two definitive features: first, they involve iterative removal of edges from the network to split it into communities, the edges removed being identified using any one of a number of possible ""betweenness"" measures, and second, these measures are, crucially, recalculated after each removal. We also propose a measure for the strength of the community structure found by our algorithms, which gives us an objective metric for choosing the number of communities into which a network should be divided. We demonstrate that our algorithms are highly effective at discovering community structure in both computer-generated and real-world network data, and show how they can be used to shed light on the sometimes dauntingly complex structure of networked systems.We propose and study a set of algorithms for discovering community structure in networksnatural divisions of network nodes into densely connected subgroups. Our algorithms all share two definitive features: first, they involve iterative removal of edges from the network to split it into communities, the edges removed being identified using any one of a number of possible ""betweenness"" measures, and second, these measures are, crucially, recalculated after each removal. We also propose a measure for the strength of the community structure found by our algorithms, which gives us an objective metric for choosing the number of communities into which a network should be divided. We demonstrate that our algorithms are highly effective at discovering community structure in both computer-generated and real-world network data, and show how they can be used to shed light on the sometimes dauntingly complex structure of networked systems."
17,"the structure and function of complex networks",155,"The structure and function of complex networks","Inspired by empirical studies of networked systems such as the Internet, social networks, and bio- logical networks, researchers have in recent years developed a variety of techniques and models to help us understand or predict the behavior of these systems. Here we review developments in this field, including such concepts as the small-world effect, degree distributions, clustering, network correlations, random graph models, models of network growth and preferential attachment, and dynamical processes taking place on networks."
18,"matching words and pictures",156,"Matching words and pictures","We present a new approach for modeling multi-modal data sets, focusing on the specific case of segmented images with associated text. Learning the joint distribution of image regions and words has many applications. We consider in detail predicting words associated with whole images (auto-annotation) and corresponding to particular image regions (region naming). Auto-annotation might help organize and access large collections of images. Region naming is a model of object recognition as a process of translating image regions to words, much as one might translate from one language to another. Learning the relationships between image regions and semantic correlates (words) is an interesting example of multi-modal data mining, particularly because it is typically hard to apply data mining techniques to collections of images. We develop a number of models for the joint distribution of image regions and words, including several which explicitly learn the correspondence between regions and words. We study multi-moda  and correspondence extensions to Hofmann’s hierarchical clustering/aspect model, a translation model adapted from statistical machine translation (Brown et al.), and a multi-modal extension to mixture of latent Dirichlet allocation (MoM-LDA). All models are assessed using a large collection of annotated images of real scenes. We study in depth the difficult problem of measuring performance. For the annotation task, we look at prediction performance on held out data. We present three alternative measures, oriented toward different types of task. Measuring the performance of correspondence methods is harder, because one must determine whether a word has been placed on the right region of an image. We can use annotation performance as a proxy measure, but accurate measurement requires hand labeled data, and thus must occur on a smaller scale. We show results using both an annotation proxy, and manually labeled data."
19,"an overview of audio information retrieval",175,"An overview of audio information retrieval","Abstract.   The problem of audio information retrieval is familiar to anyone who has returned from vacation to find an answering machine full of messages. While there is not yet an ?AltaVista? for the audio data type, many workers are finding ways to automatically locate, index, and browse audio using recent advances in speech recognition and machine listening. This paper reviews the state of the art in audio information retrieval, and presents recent advances in automatic speech recognition, word spotting, speaker and music identification, and audio similarity with a view towards making audio less ?opaque?. A special section addresses intelligent interfaces for navigating and browsing audio and multimedia documents, using automatically derived information to go beyond the tape recorder metaphor."
20,"programmed population control by cellcell communication and regulated killing",186,"Programmed population control by cell–cell communication and regulated killing","De novo engineering of gene circuits inside cells is extremely difficult1, 2, 3, 4, 5, 6, 7, 8, 9, and efforts to realize predictable and robust performance must deal with noise in gene expression and variation in phenotypes between cells10, 11, 12. Here we demonstrate that by coupling gene expression to cell survival and death using cell–cell communication, we can programme the dynamics of a population despite variability in the behaviour of individual cells. Specifically, we have built and characterized a 'population control' circuit that autonomously regulates the density of an Escherichia coli population. The cell density is broadcasted and detected by elements from a bacterial quorum-sensing system13, 14, which in turn regulate the death rate. As predicted by a simple mathematical model, the circuit can set a stable steady state in terms of cell density and gene expression that is easily tunable by varying the stability of the cell–cell communication signal. This circuit incorporates a mechanism for programmed death in response to changes in the environment, and allows us to probe the design principles of its more complex natural counterparts."
21,"mobility in collaboration",205,"Mobility in collaboration","This paper addresses an issue that has received little attention within CSCW - the requirements to support mobility within collaborative activities. By examining three quite different settings each with differing technological support, we examine the ways in which mobility is critical to collaborative work. We suggest that taking mobility seriously may not only contribute our understanding of current support for collaboration, but raise more general issues concerning the requirements for mobile and other technologies."
22,"the sociocognitive psychology of computermediated communication the present and future of technologybased interactions",214,"The sociocognitive psychology of computer-mediated communication: the present and future of technology-based interactions.","The increased diffusion of the Internet has made computer-mediated communication (CMC) very popular. However, a difficult question arises for psychologists and communication researchers: ""What are the communicative characteristics of CMC?"" According to the ""cues-filtered-out"" approach, CMC lacks the specifically relational features (social cues), which enable the interlocutors to identify correctly the kind of interpersonal situations they find themselves in. This paper counters this vision by integrating in its theoretical frame the different psycho-social approaches available in current literature. In particular, the paper describes the characteristics of the socio-cognitive processes-emotional expression, context definition, and identity creation-used by the interlocutors to make order and create relationships out of the miscommunication processes typical of CMC. Moreover, it presents the emerging forms of CMC-instant messaging, shared hypermedia, weblogs, and graphical chats-and their possible social and communicative effects."
23,"design of artificial cellcell communication using gene and metabolic networks",226,"Design of artificial cell-cell communication using gene and metabolic networks.","Artificial transcriptional networks have been used to achieve novel, nonnative behavior in bacteria. {T}ypically, these artificial circuits are isolated from cellular metabolism and are designed to function without intercellular communication. {T}o attain concerted biological behavior in a population, synchronization through intercellular communication is highly desirable. {H}ere we demonstrate the design and construction of a gene-metabolic circuit that uses a common metabolite to achieve tunable artificial cell-cell communication. {T}his circuit uses a threshold concentration of acetate to induce gene expression by acetate kinase and part of the nitrogen-regulation two-component system. {A}s one application of the cell-cell communication circuit we created an artificial quorum sensor. {E}ngineering of carbon metabolism in {E}scherichia coli made acetate secretion proportional to cell density and independent of oxygen availability. {I}n these cells the circuit induced gene expression in response to a threshold cell density. {T}his threshold can be tuned effectively by controlling {D}eltap{H} over the cell membrane, which determines the partition of acetate between medium and cells. {M}utagenesis of the enhancer sequence of the gln{A}p2 promoter produced variants of the circuit with changed sensitivity demonstrating tunability of the circuit by engineering of its components. {T}he behavior of the circuit shows remarkable predictability based on a mathematical design model."
24,"dynamic conditional random fields",230,"Dynamic conditional random fields","Conditional random fields (CRFs) for sequence modeling have several  advantages over joint models such as HMMs, including the ability to  relax strong independence assumptions made in those models, and the  ability to incorporate arbitrary overlapping features. Previous work has  focused on linear-chain CRFs, which correspond to finite-state machines,  and have efficient exact inference algorithms. Often, however, we wish  to label sequence data in multiple interacting ways---for example,..."
25,"functional and topological characterization of protein interaction networks",239,"Functional and topological characterization of protein interaction networks.","The elucidation of the cell's large-scale organization is a primary challenge for post-genomic biology, and understanding the structure of protein interaction networks offers an important starting point for such studies. We compare four available databases that approximate the protein interaction network of the yeast, Saccharomyces cerevisiae, aiming to uncover the network's generic large-scale properties and the impact of the proteins' function and cellular localization on the network topology. We show how each database supports a scale-free, topology with hierarchical modularity, indicating that these features represent a robust and generic property of the protein interactions network. We also find strong correlations between the network's structure and the functional role and subcellular localization of its protein constituents, concluding that most functional and/or localization classes appear as relatively segregated subnetworks of the full protein interaction network. The uncovered systematic differences between the four protein interaction databases reflect their relative coverage for different functional and localization classes and provide a guide for their utility in various bioinformatics studies."
26,"metabolomics and systems biology making sense of the soup",271,"Metabolomics and systems biology: making sense of the soup.","Novel techniques for acquiring metabolomics data continue to emerge. Such data require proper storage in suitably configured databases, which then permit one to establish the size of microbial metabolomes (hundreds of major metabolites) and allow the nature, organisation and control of metabolic networks to be investigated. A variety of algorithms for metabolic network reconstruction coupled to suitable modelling algorithms are the ground substances for the development of metabolic network and systems biology. Even qualitative models of metabolic networks, when subject to stoichiometric constraints, can prove highly informative, and are the first step to the quantitative models, which alone can allow the true representation of complex biochemical systems."
27,"schemes of flux control in a model of saccharomyces cerevisiae glycolysis",306,"Schemes of flux control in a model of Saccharomyces cerevisiae glycolysis.","We used parameter scanning to emulate changes to the limiting rate for steps in a fitted model of glucose-derepressed yeast glycolysis. Three flux-control regimes were observed, two of which were under the dominant control of hexose transport, in accordance with various experimental studies and other model predictions. A third control regime in which phosphofructokinase exerted dominant glycolytic flux control was also found, but it appeared to be physiologically unreachable by this model, and all realistically obtainable flux control regimes featured hexose transport as a step involving high flux control."
28,"network dynamics and cell physiology",310,"Network dynamics and cell physiology","Complex assemblies of interacting proteins carry out most of the interesting jobs in a cell, such as metabolism, DNA synthesis, movement and information processing. These physiological properties play out as a subtle molecular dance, choreographed by underlying regulatory networks. To understand this dance, a new breed of theoretical molecular biologists reproduces these networks in computers and in the mathematical language of dynamical systems."
29,"a synthetic oscillatory network of transcriptional regulators",311,"A synthetic oscillatory network of transcriptional regulators.","Networks of interacting biomolecules carry out many essential functions in living cells, but the 'design principles' underlying the functioning of such intracellular networks remain poorly understood, despite intensive efforts including quantitative analysis of relatively simple systems. {H}ere we present a complementary approach to this problem: the design and construction of a synthetic network to implement a particular function. {W}e used three transcriptional repressor systems that are not part of any natural biological clock to build an oscillating network, termed the repressilator, in {E}scherichia coli. {T}he network periodically induces the synthesis of green fluorescent protein as a readout of its state in individual cells. {T}he resulting oscillations, with typical periods of hours, are slower than the cell-division cycle, so the state of the oscillator has to be transmitted from generation to generation. {T}his artificial clock displays noisy behaviour, possibly because of stochastic fluctuations of its components. {S}uch 'rational network design may lead both to the engineering of new cellular behaviours and to an improved understanding of naturally occurring networks."
30,"information foraging",448,"Information foraging","Information foraging theory is an approach to understanding how strategies and technologies for information seeking, gathering, and consumption are adapted to the flux of information in the environment. The theory assumes that people, when possible, will modify their strategies or the structure of the environment to maximize their rate of gaining valuable information. The theory is developed by (a) adaptation (rational) analysis of information foraging problems and (b) a detailed process model (adaptive control of thought in information foraging [ACT-IF]). The adaptation analysis develops (a) information patch models, which deal with time allocation and information filtering and enrichment activities in environments in which information is encountered in clusters; (b) information scent models, which address the identification of information value from proximal cues; and (c) information diet models, which address decisions about the selection and pursuit of information items. ACT-IF is instantiated as a production system model of people interacting with complex information technology. Humans actively seek, gather, share, and consume information to a degree unapproached by other organisms. Ours might properly be characterized as a species of informavores (Dennett, 1991). Our adaptive success depends to a large extent on a vast and complex"
31,"design and implementation of microarray gene expression markup language mageml",459,"Design and implementation of microarray gene expression markup language (MAGE-ML).","BACKGROUND: Meaningful exchange of microarray data is currently difficult because it is rare that published data provide sufficient information depth or are even in the same format from one publication to another. Only when data can be easily exchanged will the entire biological community be able to derive the full benefit from such microarray studies. RESULTS: To this end we have developed three key ingredients towards standardizing the storage and exchange of microarray data. First, we have created a minimal information for the annotation of a microarray experiment (MIAME)-compliant conceptualization of microarray experiments modeled using the unified modeling language (UML) named MAGE-OM (microarray gene expression object model). Second, we have translated MAGE-OM into an XML-based data format, MAGE-ML, to facilitate the exchange of data. Third, some of us are now using MAGE (or its progenitors) in data production settings. Finally, we have developed a freely available software tool kit (MAGE-STK) that eases the integration of MAGE-ML into end users' systems. CONCLUSIONS: MAGE will help microarray data producers and users to exchange information by providing a common platform for data exchange, and MAGE-STK will make the adoption of MAGE easier."
32,"a theory of problemsolving behavior",487,"A Theory of Problem-Solving Behavior","In this paper we develop a formal, testable theory of problem-solving behavior with special relevance to individuals and small groups. The theory is consistent with principles drawn from operant behavior and social exchange theories but also incorporates elements of cognitive psychology. Problem solving is defined as a nonroutine activity oriented toward changing an undesirable state of affairs. The focus on change differentiates problem solving from coping, which is oriented toward relieving feelings of stress. A decision-making model is presented, which takes the problem-solving process through its latter stages. The theory is based on two axioms and three theorems pertaining to the process of decision making. These axioms and theorems serve as the foundation for deriving 14 theorems that establish the antecedent conditions affecting decisions relevnat to each of four stages in the problem-solving process. This theory is distinguished from other problem-solving theories in its effort to account for conditions leading to awareness of problems and in its emphasis on generic problem-solving processes rather than on the effectiveness of problem-solving outcomes."
33,"mips a database for genomes and protein sequences",501,"MIPS: a database for genomes and protein sequences","The Munich Information Center for Protein Sequences (MIPS-GSF, Neuherberg, Germany) continues to provide genome-related information in a systematic way. MIPS supports both national and European sequencing and functional analysis projects, develops and maintains automatically generated and manually annotated genome-specific databases, develops systematic classification schemes for the functional annotation of protein sequences, and provides tools for the comprehensive analysis of protein sequences. This report updates the information on the yeast genome (CYGD), the Neurospora crassa genome (MNCDB), the databases for the comprehensive set of genomes (PEDANT genomes), the database of annotated human EST clusters (HIB), the database of complete cDNAs from the DHGP (German Human Genome Project), as well as the project specific databases for the GABI (Genome Analysis in Plants) and HNB (Helmholtz-Netzwerk Bioinformatik) networks. The Arabidospsis thaliana database (MATDB), the database of mitochondrial proteins (MITOP) and our contribution to the PIR International Protein Sequence Database have been described elsewhere [Schoof et al. (2002) Nucleic Acids Res., 30, 91-93; Scharfe et al. (2000) Nucleic Acids Res., 28, 155-158; Barker et al. (2001) Nucleic Acids Res., 29, 29-32]. All databases described, the protein analysis tools provided and the detailed descriptions of our projects can be accessed through the MIPS World Wide Web server (http://mips.gsf.de)."
34,"random networks with tunable degree distribution and clustering",516,"Random Networks with Tunable Degree Distribution and Clustering","We present an algorithm for generating random networks with arbitrary degree distribution and Clustering (frequency of triadic closure). We use this algorithm to generate networks with exponential, power law, and poisson degree distributions with variable levels of clustering. Such networks may be used as models of social networks and as a testable null hypothesis about network structure. Finally, we explore the effects of clustering on the point of the phase transition where a giant component forms in a random network, and on the size of the giant component. Some analysis of these effects is presented."
35,"social structure and opinion formation",644,"Social Structure and Opinion Formation","We present a dynamical theory of opinion formation that takes explicitly into account the structure of the social network in which in- dividuals are embedded. The theory predicts the evolution of a set of opinions through the social network and establishes the existence of a martingale property, i.e. that the expected weighted fraction of the population that holds a given opinion is constant in time. Most importantly, this weighted fraction is not either zero or one, but corresponds to a non-trivial distribution of opinions in the long time limit. This co-existence of opinions within a social network is in agreement with the often observed locality effect, in which an opinion or a fad is localized to given groups without infecting the whole society. We verified these predictions, as well as those concerning the fragility of opinions and the importance of highly connected individuals in opinion formation, by performing computer experiments on a number of social networks."
36,"edutella a pp networking infrastructure based on rdf",722,"EDUTELLA: A P2P Networking Infrastructure Based on RDF","Metadata for the World Wide Web is important, but metadata for Peer-to-Peer (P2P) networks is absolutely crucial. In this paper we discuss the open source project Edutella which builds upon metadata standards defined for the WWW and aims to provide an RDF-based metadata infrastructure for P2P applications, building on the recently announced JXTA Framework. We describe the goals and main services this infrastructure will provide and the architecture to connect Edutella Peers based on exchange of RDF metadata. As the query service is one of the core services of Edutella, upon which other services are built, we specify in detail the Edutella Common Data Model (ECDM) as basis for the Edutella query exchange language (RDF-QEL-i) and format implementing distributed queries over the Edutella network. Finally, we shortly discuss registration and mediation services, and introduce the prototype and application scenario for our current Edutella aware peers."
37,"from kuramoto to crawford exploring the onset of synchronization in populations of coupled oscillators",769,"From Kuramoto to Crawford: exploring the onset of synchronization in populations of coupled oscillators","The Kuramoto model describes a large population of coupled limit-cycle oscillators whose natural frequencies are drawn from some prescribed distribution. If the coupling strength exceeds a certain threshold, the system exhibits a phase transition: some of the oscillators spontaneously synchronize, while others remain incoherent. The mathematical analysis of this bifurcation has proved both problematic and fascinating. We review 25 years of research on the Kuramoto model, highlighting the false turns as well as the successes, but mainly following the trail leading from Kuramoto's work to Crawford's recent contributions. It is a lovely winding road, with excursions through mathematical biology, statistical physics, kinetic theory, bifurcation theory, and plasma physics. (C) 2000 Elsevier Science B.V. All rights reserved."
