doc_id	citeulike_id	type	journal	booktitle	series	publisher	pages	volume	number	year	month	postedat	address	title	abstract
10	122	article	phys rev e stat nonlin soft matter phys	\N	\N	\N	\N	64	5 Pt 1	2001	nov	2004-11-08 16:34:35	school of physics, center for theoretical physics, seoul national university, seoul 151-747, korea.	spectra and eigenvectors of scale-free networks.	we study the spectra and eigenvectors of the adjacency matrices of scale-free networks when bidirectional interaction is allowed, so that the adjacency matrix is real and symmetric. the spectral density shows an exponential decay around the center, followed by power-law long tails at both spectrum edges. the largest eigenvalue lambda1 depends on system size n as lambda1 approximately n1/4 for large n, and the corresponding eigenfunction is strongly localized at the hub, the vertex with largest degree. the component of the normalized eigenfunction at the hub is of order unity. we also find that the mass gap scales as n(-0.68).
11	123	article	proceedings of the national academy of sciences of the united states of america	\N	\N	\N	5	100	11	2003	may	2004-11-08 16:35:18	department of mathematics, university of california at san diego, la jolla 92093-0112, usa. fan@ucsd.edu	spectra of random graphs with given expected degrees	in the study of the spectra of power-law graphs, there are basically two  competing approaches. one is to prove analogues of wigner's semicircle law,  whereas the other predicts that the eigenvalues follow a power-law  distribution. although the semicircle law and the power law have nothing in  common, we will show that both approaches are essentially correct if one  considers the appropriate matrices. we will prove that (under certain mild  conditions) the eigenvalues of the (normalized) laplacian of a random  power-law graph follow the semicircle law, whereas the spectrum of the  adjacency matrix of a power-law graph obeys the power law. our results are  based on the analysis of random graphs with given expected degrees and their  relations to several key invariants. of interest are a number of (new) values  for the exponent ?, where phase transitions for eigenvalue distributions  occur. the spectrum distributions have direct implications to numerous graph  algorithms such as, for example, randomized algorithms that involve rapidly  mixing markov chains.
12	127	article	proceedings of the national academy of sciences	\N	\N	national academy of sciences	5	99	22	2002	oct	2004-11-08 17:12:25	department of management sciences, university of iowa, iowa city, ia 52242, usa. filippo-menzer@uiowa.edu	growing and navigating the small world web by local content	can we model the scale-free distribution of web hypertext degree under realistic assumptions about the behavior of page authors? can a web crawler efficiently locate an unknown relevant page? these questions are receiving much attention due to their potential impact for understanding the structure of the web and for building better search engines. here i investigate the connection between the linkage and content topology of web pages. the relationship between a text-induced distance metric and a link-based neighborhood probability distribution displays a phase transition between a region where linkage is not determined by content and one where linkage decays according to a power law. this relationship is used to propose a web growth model that is shown to accurately predict the distribution of web page degree, based on textual content and assuming only local knowledge of degree for existing pages. a qualitatively similar phase transition is found between linkage and semantic distance, with an exponential decay tail. both relationships suggest that efficient paths can be discovered by decentralized web navigation algorithms based on textual and/or categorical cues.
13	128	article	proceedings of the national academy of sciences	\N	\N	national academy of sciences	5	98	2	2001	jan	2004-11-08 17:14:49	santa fe institute, 1399 hyde park road, santa fe, nm 87501, usa. mark@santafe.edu	the structure of scientific collaboration networks	the structure of scientific collaboration networks is investigated. two scientists are considered connected if they have authored a paper together and explicit networks of such connections are constructed by using data drawn from a number of databases, including {medline} (biomedical research), the los alamos {e-print} archive (physics), and {ncstrl} (computer science). i show that these collaboration networks form  î small worlds,î in which randomly chosen pairs of scientists are typically separated by only a short path of intermediate acquaintances. i further give results for mean and distribution of numbers of collaborators of authors, demonstrate the presence of clustering in the networks, and highlight a number of apparent differences in the patterns of collaboration between the fields studied.
14	129	article	proceedings of the national academy of sciences	\N	\N	national academy of sciences	3	97	21	2000	oct	2004-11-08 17:15:37	center for polymer studies and department of physics, boston university, boston, ma 02215, usa. amaral@buphy.bu.edu	classes of small-world networks	we study the statistical properties of a variety of diverse real-world networks. we present evidence of the occurrence of three classes of small-world networks: (a) scale-free networks, characterized by a vertex connectivity distribution that decays as a power law; (b) broad-scale networks, characterized by a connectivity distribution that has a power law regime followed by a sharp cutoff; and (c) single-scale networks, characterized by a connectivity distribution with a fast decaying tail. moreover, we note for the classes of broad-scale and single-scale networks that there are constraints limiting the addition of new links. our results suggest that the nature of such constraints may be the controlling factor for the emergence of different classes of networks.
15	148	article	nature	\N	\N	nature publishing group	3	427	6976	2004	feb	2004-11-10 05:48:07	department of physics, massachusetts institute of technology, cambridge, massachusetts 02139, usa.	multistability in the lactose utilization network of escherichia coli.	multistability, the capacity to achieve multiple internal states in response to a single set of external inputs, is the defining characteristic of a switch. biological switches are essential for the determination of cell fate in multicellular organisms, the regulation of cell-cycle oscillations during mitosis and the maintenance of epigenetic traits in microbes. the multistability of several natural and synthetic systems has been attributed to positive feedback loops in their regulatory networks. however, feedback alone does not guarantee multistability. the phase diagram of a multistable system, a concise description of internal states as key parameters are varied, reveals the conditions required to produce a functional switch. here we present the phase diagram of the bistable lactose utilization network of escherichia coli. we use this phase diagram, coupled with a mathematical model of the network, to quantitatively investigate processes such as sugar uptake and transcriptional regulation in vivo. we then show how the hysteretic response of the wild-type system can be converted to an ultrasensitive graded response. the phase diagram thus serves as a sensitive probe of molecular interactions and as a powerful tool for rational network design.
16	154	article	physical review e	\N	\N	american physical society	\N	69	2	2003	aug	2004-11-10 17:09:17	\N	finding and evaluating community structure in networks	we propose and study a set of algorithms for discovering community structure in networks¬ónatural divisions of network nodes into densely connected subgroups. our algorithms all share two definitive features: first, they involve iterative removal of edges from the network to split it into communities, the edges removed being identified using any one of a number of possible "betweenness" measures, and second, these measures are, crucially, recalculated after each removal. we also propose a measure for the strength of the community structure found by our algorithms, which gives us an objective metric for choosing the number of communities into which a network should be divided. we demonstrate that our algorithms are highly effective at discovering community structure in both computer-generated and real-world network data, and show how they can be used to shed light on the sometimes dauntingly complex structure of networked systems.we propose and study a set of algorithms for discovering community structure in networks¬ónatural divisions of network nodes into densely connected subgroups. our algorithms all share two definitive features: first, they involve iterative removal of edges from the network to split it into communities, the edges removed being identified using any one of a number of possible "betweenness" measures, and second, these measures are, crucially, recalculated after each removal. we also propose a measure for the strength of the community structure found by our algorithms, which gives us an objective metric for choosing the number of communities into which a network should be divided. we demonstrate that our algorithms are highly effective at discovering community structure in both computer-generated and real-world network data, and show how they can be used to shed light on the sometimes dauntingly complex structure of networked systems.
17	155	misc	\N	\N	\N	\N	\N	\N	\N	2003	mar	2004-11-10 17:13:30	\N	the structure and function of complex networks	inspired by empirical studies of networked systems such as the internet, social networks, and bio- logical networks, researchers have in recent years developed a variety of techniques and models to help us understand or predict the behavior of these systems. here we review developments in this field, including such concepts as the small-world effect, degree distributions, clustering, network correlations, random graph models, models of network growth and preferential attachment, and dynamical processes taking place on networks.
18	156	article	j. mach. learn. res.	\N	\N	jmlr.org	28	3	\N	2003	mar	2004-11-10 17:52:19	cambridge, ma, usa	matching words and pictures	we present a new approach for modeling multi-modal data sets, focusing on the specific case of segmented images with associated text. learning the joint distribution of image regions and words has many applications. we consider in detail predicting words associated with whole images (auto-annotation) and corresponding to particular image regions (region naming). auto-annotation might help organize and access large collections of images. region naming is a model of object recognition as a process of translating image regions to words, much as one might translate from one language to another. learning the relationships between image regions and semantic correlates (words) is an interesting example of multi-modal data mining, particularly because it is typically hard to apply data mining techniques to collections of images. we develop a number of models for the joint distribution of image regions and words, including several which explicitly learn the correspondence between regions and words. we study multi-modal and correspondence extensions to hofmann's hierarchical clustering/aspect model, a translation model adapted from statistical machine translation (brown et al.), and a multi-modal extension to mixture of latent dirichlet allocation ({mom}-{lda}). all models are assessed using a large collection of annotated images of real scenes. we study in depth the difficult problem of measuring performance. for the annotation task, we look at prediction performance on held out data. we present three alternative measures, oriented toward different types of task. measuring the performance of correspondence methods is harder, because one must determine whether a word has been placed on the right region of an image. we can use annotation performance as a proxy measure, but accurate measurement requires hand labeled data, and thus must occur on a smaller scale. we show results using both an annotation proxy, and manually labeled data.
19	175	article	\N	\N	\N	\N	\N	\N	\N	-1	\N	2004-11-11 01:04:06	\N	an overview of audio information retrieval	abstract.   the problem of audio information retrieval is familiar to anyone who has returned from vacation to find an answering machine full of messages. while there is not yet an ?altavista? for the audio data type, many workers are finding ways to automatically locate, index, and browse audio using recent advances in speech recognition and machine listening. this paper reviews the state of the art in audio information retrieval, and presents recent advances in automatic speech recognition, word spotting, speaker and music identification, and audio similarity with a view towards making audio less ?opaque?. a special section addresses intelligent interfaces for navigating and browsing audio and multimedia documents, using automatically derived information to go beyond the tape recorder metaphor.
20	186	article	nature	\N	\N	nature publishing group	3	428	6985	2004	apr	2004-11-11 10:22:43	division of chemistry and chemical engineering, california institute of technology, pasadena, california 91125, usa.	programmed population control by cell-cell communication and regulated killing.	de novo engineering of gene circuits inside cells is extremely difficult, and efforts to realize predictable and robust performance must deal with noise in gene expression and variation in phenotypes between cells. here we demonstrate that by coupling gene expression to cell survival and death using cell-cell communication, we can programme the dynamics of a population despite variability in the behaviour of individual cells. specifically, we have built and characterized a 'population control' circuit that autonomously regulates the density of an escherichia coli population. the cell density is broadcasted and detected by elements from a bacterial quorum-sensing system, which in turn regulate the death rate. as predicted by a simple mathematical model, the circuit can set a stable steady state in terms of cell density and gene expression that is easily tunable by varying the stability of the cell-cell communication signal. this circuit incorporates a mechanism for programmed death in response to changes in the environment, and allows us to probe the design principles of its more complex natural counterparts.
21	205	inproceedings	\N	cscw	\N	acm	9	\N	\N	1998	\N	2004-11-11 13:27:05	new york, ny, usa	mobility in collaboration	note: {ocr} errors may be found in this reference list extracted from the full text article.  {acm} has opted to expose the complete list rather than only correct and linked references.
22	214	article	cyberpsychol behav	\N	\N	\N	17	5	6	2002	dec	2004-11-11 16:32:16	applied technology for neuro-psychology laboratory, istituto auxologico italiano, centre for studies and research in communication psychology, universit\\`{a} cattolica del sacro cuore, milan, italy. auxo.psylab@auxologico.it	the sociocognitive psychology of computer-mediated communication: the present and future of technology-based interactions.	the increased diffusion of the internet has made computer-mediated communication ({cmc}) very popular. however, a difficult question arises for psychologists and communication researchers: "what are the communicative characteristics of {cmc}?" according to the "cues-filtered-out" approach, {cmc} lacks the specifically relational features (social cues), which enable the interlocutors to identify correctly the kind of interpersonal situations they find themselves in. this paper counters this vision by integrating in its theoretical frame the different psycho-social approaches available in current literature. in particular, the paper describes the characteristics of the socio-cognitive processes-emotional expression, context definition, and identity creation-used by the interlocutors to make order and create relationships out of the miscommunication processes typical of {cmc}. moreover, it presents the emerging forms of {cmc}-instant messaging, shared hypermedia, weblogs, and graphical chats-and their possible social and communicative effects.
23	226	article	proceedings of the national academy of sciences of the united states of america	\N	\N	\N	5	101	8	2004	feb	2004-11-12 02:17:30	department of chemical engineering, university of california, los angeles, ca 90095, usa.	design of artificial cellñcell communication using gene and metabolic networks	artificial transcriptional networks have been used to achieve novel, nonnative behavior in bacteria. typically, these artificial circuits are isolated from cellular metabolism and are designed to function without intercellular communication. to attain concerted biological behavior in a population, synchronization through intercellular communication is highly desirable. here we demonstrate the design and construction of a gene-metabolic circuit that uses a common metabolite to achieve tunable artificial cellñcell communication. this circuit uses a threshold concentration of acetate to induce gene expression by acetate kinase and part of the nitrogen-regulation two-component system. as one application of the cellñcell communication circuit we created an artificial quorum sensor. engineering of carbon metabolism in escherichia coli made acetate secretion proportional to cell density and independent of oxygen availability. in these cells the circuit induced gene expression in response to a threshold cell density. this threshold can be tuned effectively by controlling {?ph} over the cell membrane, which determines the partition of acetate between medium and cells. mutagenesis of the enhancer sequence of the {glnap2} promoter produced variants of the circuit with changed sensitivity demonstrating tunability of the circuit by engineering of its components. the behavior of the circuit shows remarkable predictability based on a mathematical design model.
24	230	article	\N	\N	\N	\N	\N	\N	\N	-1	\N	2004-11-12 05:26:24	\N	dynamic conditional random fields	conditional random fields (crfs) for sequence modeling have several  advantages over joint models such as hmms, including the ability to  relax strong independence assumptions made in those models, and the  ability to incorporate arbitrary overlapping features. previous work has  focused on linear-chain crfs, which correspond to finite-state machines,  and have efficient exact inference algorithms. often, however, we wish  to label sequence data in multiple interacting ways---for example,...
25	239	article	proteomics	\N	\N	wiley-vch verlag	14	4	4	2004	apr	2004-11-12 15:04:26	department of physics, university of notre dame, notre dame, in 46556, usa.	functional and topological characterization of protein interaction networks	the elucidation of the cell's large-scale organization is a primary challenge for post-genomic biology, and understanding the structure of protein interaction networks offers an important starting point for such studies. we compare four available databases that approximate the protein interaction network of the yeast, saccharomyces cerevisiae, aiming to uncover the network's generic large-scale properties and the impact of the proteins' function and cellular localization on the network topology. we show how each database supports a scale-free, topology with hierarchical modularity, indicating that these features represent a robust and generic property of the protein interactions network. we also find strong correlations between the network's structure and the functional role and subcellular localization of its protein constituents, concluding that most functional and/or localization classes appear as relatively segregated subnetworks of the full protein interaction network. the uncovered systematic differences between the four protein interaction databases reflect their relative coverage for different functional and localization classes and provide a guide for their utility in various bioinformatics studies.
26	271	article	curr opin microbiol	\N	\N	\N	11	7	3	2004	jun	2004-11-12 20:07:36	department of chemistry, umist, faraday building, sackville st, po box 88, manchester m60 1qd, uk. dbk@umist.ac.uk	metabolomics and systems biology: making sense of the soup.	novel techniques for acquiring metabolomics data continue to emerge. such data require proper storage in suitably configured databases, which then permit one to establish the size of microbial metabolomes (hundreds of major metabolites) and allow the nature, organisation and control of metabolic networks to be investigated. a variety of algorithms for metabolic network reconstruction coupled to suitable modelling algorithms are the ground substances for the development of metabolic network and systems biology. even qualitative models of metabolic networks, when subject to stoichiometric constraints, can prove highly informative, and are the first step to the quantitative models, which alone can allow the true representation of complex biochemical systems.
27	306	article	eur j biochem	\N	\N	\N	10	269	16	2002	aug	2004-11-13 13:28:15	institute of biological sciences, university of wales, aberystwyth, uk.	schemes of flux control in a model of saccharomyces cerevisiae glycolysis.	we used parameter scanning to emulate changes to the limiting rate for steps in a fitted model of glucose-derepressed yeast glycolysis. three flux-control regimes were observed, two of which were under the dominant control of hexose transport, in accordance with various experimental studies and other model predictions. a third control regime in which phosphofructokinase exerted dominant glycolytic flux control was also found, but it appeared to be physiologically unreachable by this model, and all realistically obtainable flux control regimes featured hexose transport as a step involving high flux control.
28	310	article	nat rev mol cell biol	\N	\N	nature publishing group	8	2	12	2001	dec	2004-11-13 17:42:44	department of biology, virginia polytechnic institute and state university, blacksburg, virginia 24061, usa. tyson@vt.edu	network dynamics and cell physiology	complex assemblies of interacting proteins carry out most of the interesting jobs in a cell, such as metabolism, {dna} synthesis, movement and information processing. these physiological properties play out as a subtle molecular dance, choreographed by underlying regulatory networks. to understand this dance, a new breed of theoretical molecular biologists reproduces these networks in computers and in the mathematical language of dynamical systems.
29	311	article	nature	\N	\N	nature publishing group	3	403	6767	2000	jan	2005-05-02 02:23:00	department of molecular biology and physics, princeton university, new jersey 08544, usa. melowitz@princeton.edu	a synthetic oscillatory network of transcriptional regulators	networks of interacting biomolecules carry out many essential functions in living cells1, but the 'design principles' underlying the functioning of such intracellular networks remain poorly understood, despite intensive efforts including quantitative analysis of relatively simple systems2. here we present a complementary approach to this problem: the design and construction of a synthetic network to implement a particular function. we used three transcriptional repressor systems that are not part of any natural biological clock3, 4, 5 to build an oscillating network, termed the repressilator, in escherichia coli. the network periodically induces the synthesis of green fluorescent protein as a readout of its state in individual cells. the resulting oscillations, with typical periods of hours, are slower than the cell-division cycle, so the state of the oscillator has to be transmitted from generation to generation. this artificial clock displays noisy behaviour, possibly because of stochastic fluctuations of its components. such 'rational network design' may lead both to the engineering of new cellular behaviours and to an improved understanding of naturally occurring networks.
30	448	article	\N	\N	\N	\N	\N	\N	\N	-1	\N	2004-11-15 03:25:07	\N	information foraging	information foraging theory is an approach to understanding how strategies and technologies for information seeking, gathering, and consumption are adapted to the flux of information in the environment. the theory assumes that people, when possible, will modify their strategies or the structure of the environment to maximize their rate of gaining valuable information. the theory is developed by (a) adaptation (rational) analysis of information foraging problems and (b) a detailed process model (adaptive control of thought in information foraging [act-if]). the adaptation analysis develops (a) information patch models, which deal with time allocation and information filtering and enrichment activities in environments in which information is encountered in clusters; (b) information scent models, which address the identification of information value from proximal cues; and (c) information diet models, which address decisions about the selection and pursuit of information items. act-if is instantiated as a production system model of people interacting with complex information technology. humans actively seek, gather, share, and consume information to a degree unapproached by other organisms. ours might properly be characterized as a species of informavores (dennett, 1991). our adaptive success depends to a large extent on a vast and complex
31	459	article	genome biology	\N	\N	\N	\N	3	9	2002	aug	2004-11-15 14:02:17	department of cell and molecular biology, university of california at berkeley, berkeley, ca 94720-3206, usa. spellman@fruitfly.org	design and implementation of microarray gene expression markup language ({mage}-{ml}).	{background}: meaningful exchange of microarray data is currently difficult because it is rare that published data provide sufficient information depth or are even in the same format from one publication to another. only when data can be easily exchanged will the entire biological community be able to derive the full benefit from such microarray studies. {results}: to this end we have developed three key ingredients towards standardizing the storage and exchange of microarray data. first, we have created a minimal information for the annotation of a microarray experiment ({miame})-compliant conceptualization of microarray experiments modeled using the unified modeling language ({uml}) named {mage}-{om} (microarray gene expression object model). second, we have translated {mage}-{om} into an {xml}-based data format, {mage}-{ml}, to facilitate the exchange of data. third, some of us are now using {mage} (or its progenitors) in data production settings. finally, we have developed a freely available software tool kit ({mage}-{stk}) that eases the integration of {mage}-{ml} into end users' systems. {conclusions}: {mage} will help microarray data producers and users to exchange information by providing a common platform for data exchange, and {mage}-{stk} will make the adoption of {mage} easier.
32	487	article	social psychology quarterly	\N	\N	\N	20	56	3	1993	\N	2004-11-15 16:54:25	\N	a theory of {problem-solving} behavior	in this paper we develop a formal, testable theory of problem-solving behavior with special relevance to individuals and small groups. the theory is consistent with principles drawn from operant behavior and social exchange theories but also incorporates elements of cognitive psychology. problem solving is defined as a nonroutine activity oriented toward changing an undesirable state of affairs. the focus on change differentiates problem solving from coping, which is oriented toward relieving feelings of stress. a decision-making model is presented, which takes the problem-solving process through its latter stages. the theory is based on two axioms and three theorems pertaining to the process of decision making. these axioms and theorems serve as the foundation for deriving 14 theorems that establish the antecedent conditions affecting decisions relevnat to each of four stages in the problem-solving process. this theory is distinguished from other problem-solving theories in its effort to account for conditions leading to awareness of problems and in its emphasis on generic problem-solving processes rather than on the effectiveness of problem-solving outcomes.
33	501	article	nucleic acids research	\N	\N	\N	4	27	1	1999	jan	2004-11-15 17:04:25	gsf-forschungszentrum f\\"{u}r umwelt und gesundheit, munich information center for protein sequences, am max-planck-instut f\\"{u}r biochemie, am klopferspitz 18, d-82152 martinsried, germany. mewes@mips.biochem.mpg.de	{mips}: a database for genomes and protein sequences	the munich information center for protein sequences ({mips}-{gsf}), martinsried near munich, germany, develops and maintains genome oriented databases. it is commonplace that the amount of sequence data available increases rapidly, but not the capacity of qualified manual annotation at the sequence databases. therefore, our strategy aims to cope with the data stream by the comprehensive application of analysis tools to sequences of complete genomes, the systematic classification of protein sequences and the active support of sequence analysis and functional genomics projects. this report describes the systematic and up-to-date analysis of genomes ({pedant}), a comprehensive database of the yeast genome ({mygd}), a database reflecting the progress in sequencing the arabidopsis thaliana genome ({matd}), the database of assembled, annotated human {est} clusters ({mest}), and the collection of protein sequence data within the framework of the {pir}-international protein sequence database (described elsewhere in this volume). {mips} provides access through its {www} server (http://www.mips.biochem.mpg.de) to a spectrum of generic databases, including the above mentioned as well as a database of protein families ({protfam}), the {mitop} database, and the all-against-all {fasta} database.
34	516	electronic	\N	\N	\N	\N	\N	\N	\N	2004	jun	2004-11-15 17:12:26	\N	random networks with tunable degree distribution and clustering	we present an algorithm for generating random networks with arbitrary degree distribution and clustering (frequency of triadic closure). we use this algorithm to generate networks with exponential, power law, and poisson degree distributions with variable levels of clustering. such networks may be used as models of social networks and as a testable null hypothesis about network structure. finally, we explore the effects of clustering on the point of the phase transition where a giant component forms in a random network, and on the size of the giant component. some analysis of these effects is presented.
